ID,Summary,Description,Status
1,Write tests for config,Set up the initial pytest suite and mock the environment variables to verify the GCPConfig class behaves correctly under different scenarios.,DONE
2,Extract config logic from app,Remove hardcoded PROJECT_ID and LOCATION from app.py and migrate them into a centralized config.py file that handles Cloud Logging setup.,DONE
3,Write tests for vault service,Create a test suite that mocks the Google Cloud Secret Manager client to ensure the get_maps_api_key method correctly caches and retrieves the API key.,DONE
4,Extract api key logic into vault service,Remove the os.environ lookup from the index route in app.py and implement the VaultService class to fetch the key securely from Secret Manager.,DONE
5,Write tests for geospatial service,Mock the Earth Engine (ee) SDK and the requests library to test that fetch_satellite_tile calculates bounds correctly and handles missing credentials.,DONE
6,Extract Earth Engine logic into geospatial service,Move the COPERNICUS filtering and ThumbURL generation from the /terraform route into the EarthEngineClient class.,DONE
7,Write tests for ai vision service,Mock the Vertex AI GenerativeModel (Gemini) and ImageGenerationModel (Imagen) to verify that the strict JSON schema is parsed and the image bytes are returned.,DONE
8,Extract Imagen logic and add Gemini to ai vision service,Deconstruct the Vertex AI code from app.py and implement the full AIVisionService containing both the Gemini intent analysis and Imagen 3 transformation.,DONE
9,Write tests for audio engine service,Mock the Cloud Text-to-Speech client to ensure the synthesize_advisory method requests the correct Studio voice and returns Base64 encoded audio.,DONE
10,Implement TTS in audio engine service,Implement the AudioSynthesisService to convert the AI-generated advisory narrative into a playable MP3 file for the frontend.,DONE
11,Write tests for state sync service,Mock the Firestore client to verify that log_terraform_event correctly targets the 'terraforms' collection and adds a server-side timestamp.,DONE
12,Implement Firestore in state sync service,Build the GlobalMultiverseClient to asynchronously save every successful terraforming event into the database to create a shared multiverse.,DONE
13,Write tests for app routing,Mock all the newly created services and simulate a POST request to /terraform to verify the Flask application orchestrates the flow correctly.,DONE
14,Refactor app routing to use modular services,Strip app.py down to less than 50 lines of routing logic and inject the AI_WIRING_POINT comments for the codelab attendees.,DONE
15,Implement the Radio UI,Add a frontend component to play the Base64 audio returned by the TTS service.,DONE
16,Implement procedural city generation,Add or restore the 3D procedural city generation logic (spawnProceduralCity) in the frontend.,DONE
17,Investigate/Refactor texture generation to use Gemini Flash,Update the texture generation logic to use Gemini Flash for textures as requested by the user.,DONE